id,title,popularity,release_date,launch Month,launch Year ,vote_average,vote_count
393624,Official Secrets,20.478,8/30/2019,8,2019,7.236,862
11929,Dolores Claiborne,25.344,3/24/1995,3,1995,7.236,683
79707,Children Who Chase Lost Voices,28.687,5/7/2011,5,2011,7.235,638
8363,Superbad,72.014,3/20/2007,3,2007,7.234,6732
6537,The Orphanage,24.128,5/20/2007,5,2007,7.234,2686
465136,Every Day,29.054,2/22/2018,2,2018,7.234,2121
842675,The Wandering Earth II,149.717,1/22/2023,1,2023,7.234,396
581734,Nomadland,26.622,1/29/2021,1,2021,7.233,2704
11986,Betty Blue,16.221,4/9/1986,4,1986,7.233,372
70670,Headhunters,14.589,8/26/2011,8,2011,7.232,1135
43266,How Green Was My Valley,14.14,10/28/1941,10,1941,7.232,353
37724,Skyfall,64.055,10/24/2012,10,2012,7.231,14569
8393,The Gods Must Be Crazy,27.461,9/10/1980,9,1980,7.231,1037
21641,The Damned United,17.695,3/27/2009,3,2009,7.231,582
20352,Despicable Me,98.43,7/8/2010,7,2010,7.23,14257
979,Irreversible,67.251,5/22/2002,5,2002,7.23,2643
403,Driving Miss Daisy,17.919,12/13/1989,12,1989,7.23,1442
435577,The 12th Man,19.119,12/25/2017,12,2017,7.23,481
16907,Naruto the Movie: Ninja Clash in the Land of Snow,30.503,8/21/2004,8,2004,7.23,473
1640,Crash,33.405,5/6/2005,5,2005,7.229,3225
338189,It's Only the End of the World,15.627,8/26/2016,8,2016,7.229,1532
512895,Lady and the Tramp,38.795,11/12/2019,11,2019,7.229,1460
38684,Jane Eyre,28.57,3/11/2011,3,2011,7.229,1373
11020,Picnic at Hanging Rock,13.893,9/2/1975,9,1975,7.229,692
2567,The Aviator,33.843,12/17/2004,12,2004,7.228,4955
1254,"Don't Worry, I'm Fine",12.712,9/6/2006,9,2006,7.228,538
454983,The Kissing Booth,77.693,5/11/2018,5,2018,7.227,6951
9701,North Country,24.74,2/12/2005,2,2005,7.227,578
428836,Ophelia,26.086,6/28/2019,6,2019,7.227,501
785539,Resort to Love,25.717,7/29/2021,7,2021,7.227,379
259954,5 to 7,12.452,4/19/2014,4,2014,7.227,348
14003,Fullmetal Alchemist the Movie: Conqueror of Shamballa,20.438,7/21/2005,7,2005,7.227,302
296098,Bridge of Spies,27.587,10/15/2015,10,2015,7.226,6470
324849,The Lego Batman Movie,63.098,2/8/2017,2,2017,7.225,4636
10559,Frequency,23.464,4/28/2000,4,2000,7.225,1606
67884,Chinese Take-Away,11.269,3/24/2011,3,2011,7.225,367
591274,Fear Street: 1978,43.557,7/8/2021,7,2021,7.224,1722
467909,In the Heights,24.753,6/10/2021,6,2021,7.224,646
436343,On Body and Soul,9.313,3/2/2017,3,2017,7.224,502
28043,Black Sabbath,12.546,8/17/1963,8,1963,7.224,360
10693,Peter Pan,63.744,2/5/1953,2,1953,7.223,5036
504,Monster,32.002,12/24/2003,12,2003,7.223,2134
